planning_area,rank,Active_Living_Score,park_area_sqm,pcn_length_km,count_major_infra,count_school_facilities,count_community_gyms,count_private_fitness,count_healthier_eateries,count_chas_clinics,count_eldercare_facilities,total_population,pop_aged_65_over,pop_aged_65_over_pct,pop_density,land_area_sqkm,norm_pcn_length_km,norm_park_area_sqm,norm_count_major_infra,norm_count_community_gyms,norm_count_private_fitness,norm_count_school_facilities,norm_count_healthier_eateries,norm_count_chas_clinics,norm_count_eldercare_facilities,cat_active_commute,cat_structured_fitness,cat_healthy_nutrition,cat_preventative_care,park_area_per_capita,pcn_length_per_10k_pop,sports_facilities_per_10k_pop,all_gyms_per_10k_pop,healthier_eateries_per_10k_pop,chas_clinics_per_10k_pop,eldercare_per_1k_seniors,cluster_id,pca_x,pca_y,archetype
BEDOK,1,57.496261808237904,1547832.992348161,25.830545204862258,3.0,12.0,5.0,14.0,57.0,79.0,7.0,274650,65060,23.688330602585108,12636.90151060999,21.733966967250858,1.0,0.4476937361212506,0.75,0.2272727272727272,0.4827586206896552,0.7058823529411765,0.3333333333333333,0.9753086419753086,0.3333333333333333,0.7238468680606254,0.5414784252258897,0.3333333333333333,0.654320987654321,5.635656261963084,0.940489539590834,0.5461496450027308,0.6917895503367922,2.075368651010377,2.8763881303477152,0.10759299108515216,0,-1.2067107217246968,0.23913765575847276,Mature Active Heartland
TAMPINES,2,50.43590027996244,732560.0440528621,18.78116373045096,1.0,13.0,4.0,9.0,121.0,81.0,7.0,290610,54200,18.6504249681704,13974.7062431539,20.7954281788476,0.7270912627471624,0.2118849673553176,0.25,0.1818181818181818,0.3103448275862069,0.7647058823529411,0.7076023391812866,1.0,0.3333333333333333,0.46948811505124,0.3767172229393324,0.7076023391812866,0.6666666666666666,2.5207668148131934,0.646266946438559,0.4817452943807852,0.4473349162107292,4.163655758576787,2.787240631774543,0.12915129151291513,0,-0.989256187471337,0.04422795063954608,Mature Active Heartland
WOODLANDS,3,45.01085322280346,540391.2733202354,19.28853533175258,1.0,17.0,1.0,22.0,57.0,47.0,7.0,254610,35800,14.0607203173481,18704.111381824943,13.612515173931666,0.7467335737118614,0.1563022556800739,0.25,0.0454545454545454,0.7586206896551724,1.0,0.3333333333333333,0.5802469135802469,0.3333333333333333,0.4515179146959677,0.5135188087774294,0.3333333333333333,0.4567901234567901,2.1224275296344817,0.7575717894722352,0.7069635913750442,0.903342366757001,2.2387180393543065,1.8459604885903933,0.19553072625698323,0,-1.319934472871439,0.1608924732458414,Mature Active Heartland
BUKIT MERAH,4,43.97026702750851,1320529.3108304224,6.634981046009811,2.0,8.0,7.0,7.0,92.0,59.0,21.0,146790,36920,25.151577082907554,10150.610428908143,14.461199257726763,0.2568656988610857,0.3819486364135546,0.5,0.3181818181818182,0.2413793103448276,0.4705882352941176,0.5380116959064327,0.7283950617283951,1.0,0.3194071676373202,0.3825373409551909,0.5380116959064327,0.8641975308641976,8.996044082229188,0.45200497622520686,0.6812453164384494,0.9537434430138292,6.267456911233736,4.019347366986852,0.5687973997833153,0,-1.7370397604036767,1.1333274257852906,Mature Active Heartland
QUEENSTOWN,5,42.83957130871914,1452039.3081756094,11.84376116167418,1.0,4.0,4.0,19.0,101.0,43.0,6.0,101620,22980,22.61365872859673,4686.410938869936,21.683971236313365,0.4585176606897461,0.4199864624192166,0.25,0.1818181818181818,0.6551724137931034,0.2352941176470588,0.5906432748538012,0.5308641975308642,0.2857142857142857,0.4392520615544814,0.330571178314586,0.5906432748538012,0.4082892416225749,14.288912696079604,1.1654950956184,0.492029128124385,2.2633339893721707,9.938988388112577,4.231450501869711,0.2610966057441253,0,-0.7795953882757722,0.25727642597441475,Mature Active Heartland
KALLANG,6,42.22605635262236,61034.016164229055,14.963403305975715,4.0,3.0,5.0,29.0,52.0,37.0,10.0,102230,24660,24.122077668003524,11908.391192447616,8.584702866062628,0.5792910365344922,0.0176534205318853,1.0,0.2272727272727272,1.0,0.1764705882352941,0.3040935672514619,0.4567901234567901,0.4761904761904761,0.2984722285331888,0.6009358288770054,0.3040935672514619,0.4664902998236331,0.5970264713315959,1.4636998245109767,0.6847305096351365,3.3258339039420917,5.086569500146728,3.6192898366428645,0.40551500405515006,0,-1.6041916726859504,0.9023960182371356,Mature Active Heartland
BUKIT PANJANG,7,41.48915207891499,3457347.8864331385,12.85290453286693,1.0,7.0,0.0,13.0,36.0,22.0,0.0,136720,24690,18.05880631948508,15157.52903718115,9.019939837464818,0.4975854915539119,1.0,0.25,0.0,0.4482758620689655,0.4117647058823529,0.2105263157894736,0.2716049382716049,0.0,0.748792745776956,0.2775101419878296,0.2105263157894736,0.1358024691358024,25.28779905231962,0.9400895650136725,0.5851375073142189,0.9508484493856056,2.633118782913985,1.6091281451141017,0.0,0,-0.9392591137441857,-0.2357502433805431,Mature Active Heartland
DOWNTOWN CORE,8,39.09663583785521,92004.19397450006,2.204984105594623,0.0,0.0,22.0,19.0,171.0,43.0,0.0,5050,490,9.702970297029704,993.3832892686138,5.083636955195916,0.0853634365092519,0.0266112051771042,0.0,1.0,0.6551724137931034,0.0,1.0,0.5308641975308642,0.0,0.0559873208431781,0.4137931034482758,1.0,0.2654320987654321,18.21865227217823,4.3663051595933124,0.0,81.1881188118812,338.61386138613864,85.14851485148516,0.0,2,4.46520552949268,1.855650295620202,Urban Wellness Hub
JURONG WEST,9,35.402415087811455,109233.5326913022,8.513371520298444,3.0,15.0,1.0,3.0,70.0,59.0,7.0,254170,44320,17.43714836526734,17313.60875714481,14.68035945395333,0.3295854366517945,0.0315946026490252,0.75,0.0454545454545454,0.1034482758620689,0.8823529411764706,0.4093567251461988,0.7283950617283951,0.3333333333333333,0.1805900196504098,0.4453139406232712,0.4093567251461988,0.5308641975308642,0.4297656398918134,0.33494792935037354,0.7081874336074281,0.15737498524609514,2.754062241806665,2.321281032379903,0.157942238267148,0,-1.3869604991642035,0.2393665333279474,Mature Active Heartland
YISHUN,10,35.3439033190467,516220.6045660889,15.049224927531466,2.0,12.0,0.0,2.0,59.0,61.0,3.0,229160,39890,17.407051841508117,10906.64574226776,21.011042754594136,0.5826135224082939,0.1493111545389379,0.5,0.0,0.0689655172413793,0.7058823529411765,0.3450292397660818,0.7530864197530864,0.1428571428571428,0.3659623384736159,0.3187119675456389,0.3450292397660818,0.4479717813051146,2.2526645338020983,0.6567125557484494,0.6109268633269331,0.08727526618956187,2.5746203525920754,2.6618956187816374,0.07520681875156682,0,-0.8823904832751844,-0.11316645466068616,Mature Active Heartland
